Ids,Arabidopsis,Maize
Starch_b,-9.64309188456491,-21.1718065637893
MALTOSE_c,-0.094960074415558,-0.007786210440236
GLC_c,-0.672421166586687,-4.06721547146479
sSUCROSE_b,-1.11599211267862,-27.0219110090469
FRU_c,-0.437938288760567,-0.388614081006396
Cellulose_b,-11.0986529237445,-3.6897444465446
sMAL_b,-1.85570968835074,-0.835729206465368
PALMITATE_c,-0.946114675466746,-3.59363558780108
sGLN_b,-1.86545794452038,-1.21180734937478
sASP_b,-3.67667622636703,-1.88039071454708
sGLU_b,-4.23546465374705,-2.22861121724098
sASN_b,-2.56699469857378,-1.08644796840498
sSER_b,-5.3673271123261,-2.53504525961162
sCYS_b,-1.13233769925835,-0.626796904849026
sTHR_b,-4.97376487685726,-2.10325183627118
sGLY_b,-9.95177016691192,-5.82224680504207
sMET_b,-1.22321601662979,-0.821800386357612
sPRO_b,-3.93135683306307,-2.18682475691771
sALA_b,-8.39389264782473,-5.01437523879221
sARG_b,-2.71762270493276,-1.56002785206869
sLYS_b,-3.76966729058684,-1.65752959282298
sHIS_b,-1.20972769636997,-0.61286808474127
sILE_b,-3.26871194219603,-1.62967195260747
sLEU_b,-5.77752750214354,-3.35684564596923
sPHE_b,-2.42575542480776,-1.11430560862049
sTRP_b,-0.613920348970759,-0.278576402155123
sTYR_b,-1.7113471444849,-0.668583365172295
sVAL_b,-5.32258025485964,-2.8275504818745
