Maize,Classes
21.17180656,Carbohydrate
0.00778621,Carbohydrate
4.067215471,Carbohydrate
27.02191101,Carbohydrate
0.388614081,Carbohydrate
3.689744447,Cell Wall
3.593635588,Lipid
1.211807349,Protein
1.880390715,Protein
2.228611217,Protein
1.086447968,Protein
2.53504526,Protein
0.626796905,Protein
2.103251836,Protein
5.822246805,Protein
0.821800386,Protein
2.186824757,Protein
5.014375239,Protein
1.560027852,Protein
1.657529593,Protein
0.612868085,Protein
1.629671953,Protein
3.356845646,Protein
1.114305609,Protein
0.278576402,Protein
0.668583365,Protein
2.827550482,Protein
0.835729206,Soluble Metabolite
